time,dt,strain,stress
0,0,0,0
1,1,-0.2021484375,-272122.89663462
2,1,-0.43980275848765,-592042.17488723
3,1,-0.67417775848765,-907546.98257953
4,1,0.075822241512346,102068.40203585

