time,disp_y,force_y,strain_xx,strain_yy,stress_xx,stress_yy
0,0,0,0,0,0,0
0.005,0.008,70.454079221929,-0.00010468618221246,0.00024426722318175,-3.6749055544366e-05,56.369338032876
0.01,0.016,140.87570664968,-0.0002093470174765,0.0004884746980893,-0.00014685124958984,112.7248565665
0.015,0.024,211.2649034682,-0.00031398251580171,0.00073262244986791,-0.00033008977654123,169.06656149655
0.02,0.032,279.92989027805,-0.00042009035341518,0.00097526036457529,-0.00067276972019741,224.04109529961
0.025,0.04,306.44560331947,-0.00058449722495216,0.001202279113934,-0.0012782254433665,245.30791964868
0.03,0.048,309.67471047983,-0.00078929349484549,0.0014239971130803,-0.0015710931211094,247.94996272241
0.035,0.056,310.75245717024,-0.0010014601800756,0.001645296063745,-0.0017762224795778,248.87238273195
0.04,0.064,311.07897773655,-0.0012172315371371,0.0018663062290106,-0.0019379728486897,249.19451718641
0.045,0.072,311.11315389838,-0.001434850332046,0.0020871143029719,-0.0020725673657055,249.28311126686
0.05,0.08,311.02935643131,-0.0016534231746227,0.0023077077579688,-0.0021952599412952,249.27749589985
0.055,0.088,310.89156279418,-0.0018724796004204,0.0025280927310021,-0.0023116187907636,249.22875523851
0.06,0.096,310.72661991611,-0.0020917571262795,0.002748266880007,-0.0024249839465948,249.15831053774
0.065,0.104,310.54681806727,-0.0023111039853589,0.0029682227156389,-0.0025382539530057,249.07596166542
0.07,0.112,310.3578598019,-0.0025304281446097,0.0031879615855426,-0.0026519835219893,248.98624842638
0.075,0.12,310.16273941898,-0.0027496723122599,0.0034074866610493,-0.0027659674513374,248.89155134666
0.08,0.128,309.96336333218,-0.002968798767435,0.0036267947808114,-0.0028810200816395,248.79338709367
0.085,0.136,309.76081522155,-0.0031877826200087,0.0038458861543303,-0.0029971934113256,248.69261621013
0.09,0.144,309.55580139028,-0.0034066067418864,0.0040647608774329,-0.0031144922279633,248.58979925405
0.095,0.152,309.3488039092,-0.0036252589906498,0.0042834189449586,-0.0032328985266708,248.48531864741
0.1,0.16,309.14016448274,-0.0038437305042453,0.0045018602639562,-0.0033523844415117,248.37944535214
0.105,0.168,308.9301177254,-0.004062014867611,0.0047200855038217,-0.0034727445127039,248.27236506422
0.11,0.176,308.71875789298,-0.0042801086108188,0.0049381003698729,-0.0035927442055256,248.16415072186
0.115,0.184,308.50635430062,-0.0044980063181325,0.0051558987092329,-0.0037135590507403,248.05501769903
0.12,0.192,308.29301228986,-0.0047157049058444,0.0053734806418643,-0.0038350343259426,247.94504923246
0.125,0.2,308.07883793032,-0.0049332011517783,0.0055908443287307,-0.0039575156547572,247.83432966583
0.13,0.208,307.8638979671,-0.0051504927168473,0.0058079893552197,-0.0040809864954527,247.72291170132
0.135,0.216,307.64824654525,-0.0053675775749895,0.0060249152800931,-0.0042054328249186,247.61083804011
0.14,0.224,307.43192806679,-0.0055844539418169,0.0062416216387411,-0.0043308429098291,247.49814365153
0.145,0.232,307.21497928831,-0.0058011202220403,0.0064581079459417,-0.0044572071719034,247.38485743855
0.15,0.24,306.99742618863,-0.0060175751198051,0.0066743741927759,-0.0045844139443988,247.27099966246
0.155,0.248,306.77928821524,-0.0062338175955653,0.0068904207197052,-0.0047122755540418,247.15658535746
0.16,0.256,306.56060195261,-0.0064498460399401,0.0071062456235541,-0.0048410900796364,247.04164355658
0.165,0.264,306.34138547265,-0.0066656592977245,0.0073218483519034,-0.0049708547852069,246.92618834123
0.17,0.272,306.12164428623,-0.0068812569069489,0.007537230127367,-0.0051011911247372,246.81022357392
0.175,0.28,305.90140219575,-0.0070966373977736,0.0077523890219075,-0.0052323965815533,246.6937680957
0.18,0.288,305.68067318198,-0.0073117996125449,0.0079673239445769,-0.0053645859951416,246.57683281541
0.185,0.296,305.45946666723,-0.0075267425937373,0.0081820343368703,-0.0054977478264041,246.45942495041
0.19,0.304,305.23779083188,-0.0077414654140822,0.0083965195979952,-0.0056318843617003,246.34155073041
0.195,0.312,305.01565276597,-0.0079559671730636,0.0086107791163516,-0.0057669999989777,246.22321551966
0.2,0.32,304.79305862244,-0.0081702469930513,0.008824812273562,-0.005903099788323,246.10442393853

